nit,razon_social,contacto,ciudad,agente_retenedor,condicion_pago,notas
900154783-2,Constructora Altamira SAS,Laura Cifuentes,Bogotá,si,30 dias,Solicita entrega en obra con cita previa
901238450-6,Café y Punto SAS,Andrés Mora,Medellín,no,contado,Cliente frecuente de sillas rimax
830097512-4,Inversiones Guacarí LTDA,Patricia Salgado,Cali,si,30 dias,Requiere orden de compra firmada antes de facturar
901547621-9,Clínica Odontológica Sonrisa Total SAS,Dr. Felipe Rentería,Barranquilla,no,contado,Prefiere iluminación luz día
900873264-1,Logística del Oriente SAS,Camilo Herrera,Bucaramanga,si,30 dias,Descarga solo en horario nocturno
901092837-5,Hotel Bahía Serena SAS,Marcela Pombo,Cartagena,si,30 dias,Facturación electrónica a nombre de la matriz
900456120-8,Distribuidora El Trébol LTDA,Jorge Iván Restrepo,Pereira,no,contado,Recoge en bodega con vehículo propio
901330478-3,Academia de Idiomas Polyglot SAS,Sandra Milena Ruiz,Manizales,no,30 dias,Compra al inicio de cada semestre
900218965-7,Ferretería La Frontera SAS,Óscar Contreras,Cúcuta,no,contado,Pide descuento por volumen en accesorios
901475230-2,Agroinsumos del Tolima SAS,Rosa Elena Barragán,Ibagué,si,30 dias,Enviar cotización también al correo de compras
900765431-0,Transportes Llano Grande SAS,Héctor Fabio Rey,Villavicencio,si,30 dias,Sede administrativa nueva en adecuación
901128706-4,Operadora Turística Sierra Mar SAS,Juliana Dávila,Santa Marta,no,contado,Interés recurrente en mobiliario de recepción
900934572-8,Café Quindío Premium LTDA,Mauricio Londoño,Armenia,no,contado,Cliente desde 2019
901256394-1,Cooperativa Agrícola del Huila,Nubia Esperanza Trujillo,Neiva,si,30 dias,Exenta de algunos tributos municipales verificar antes de facturar
900587213-6,Comercializadora Galeras SAS,Diego Fernando Cabrera,Pasto,no,contado,Envíos por transportadora con seguro
901398765-3,Ganadería La Pradera SAS,Alfonso Padilla,Montería,si,30 dias,Solo recibe entregas lunes y martes
900672148-9,Fundación Educativa Boyacá Aprende,Gloria Amparo Sierra,Tunja,no,30 dias,Entidad sin ánimo de lucro solicita tres cotizaciones comparativas
901087452-7,Laboratorio Clínico Andes SAS,Bact. Carolina Muñoz,Popayán,no,contado,Requiere butacos de laboratorio certificados
900841596-5,Algodones del Cesar SAS,Rodrigo Maestre,Valledupar,si,30 dias,Factura con copia al área contable
901512087-4,Distribuciones Sabana Norte LTDA,Aleyda Vergara,Sincelejo,no,contado,Cliente nuevo referido por El Trébol
830125467-9,Torre Empresarial Chicó 94 PH,Admón. Ricardo Peñuela,Bogotá,si,30 dias,Copropiedad requiere acta de aprobación del consejo
901203658-2,Estudio Jurídico Vargas y Asociados SAS,Dra. Ana María Vargas,Medellín,no,contado,Oficina en El Poblado piso 12 coordinar ascensor de carga
900319874-6,Panificadora Valle Dorado SAS,Wilson Angulo,Cali,si,30 dias,Compras superiores a 5 millones requieren dos firmas
901446932-0,Agencia de Aduanas Caribe Norte SAS,Elvia Rosa Manotas,Barranquilla,si,30 dias,Zona franca coordinar ingreso de vehículos
900928374-5,Calzado Bucaros SAS,Fredy Alexander Jaimes,Bucaramanga,no,contado,Remodela punto de venta cada dos años
901174520-8,Eventos y Banquetes La Heroica SAS,Katherine Puello,Cartagena,no,contado,Alquila y compra sillas plegables por lotes
900534287-1,Textiles Matecaña LTDA,Beatriz Elena Ospina,Pereira,si,30 dias,Recepción de mercancía con inspección de calidad
901362845-7,Ingeniería y Montajes Nevado SAS,Iván Darío Quintero,Manizales,si,30 dias,Proyecto de dotación de campamento en curso
900786153-4,Droguería Nororiente SAS,Miriam Rincón,Cúcuta,no,contado,Compra estantería metálica con frecuencia
901295718-6,Arrocera del Combeima SAS,Gustavo Adolfo Lozano,Ibagué,si,30 dias,Pago puntual buen historial
900648291-3,Petroservicios del Meta SAS,Yesid Romero,Villavicencio,si,30 dias,Requiere certificados de seguridad industrial de los muebles
901419637-8,Marina del Rodadero SAS,Paola Andrea Ceballos,Santa Marta,no,contado,Ambiente salino prefiere materiales anticorrosivos
900872465-9,Turismo Cafetero Express SAS,Julián Esteban Giraldo,Armenia,no,contado,Oficinas pequeñas prioriza muebles compactos
901138264-5,Piscícola Betania SAS,Amparo Perdomo,Neiva,si,30 dias,Facturar a más tardar el 25 de cada mes
900493127-8,Universidad Corporación del Sur,Vicerrectoría Administrativa,Pasto,si,30 dias,Proceso de compra por convocatoria adjunta pliegos
901324756-1,Frigorífico Sinú SAS,Manuel Salvador Doria,Montería,si,30 dias,Dotación para nueva planta administrativa
900715982-4,Esmeraldas de Occidente LTDA,Argemiro Fonseca,Tunja,no,contado,Máxima discreción en despachos valor asegurado alto
901261849-0,Cabildo Verde Consultores SAS,Lorena Ipia,Popayán,no,contado,Consultora ambiental compra puestos de trabajo modulares
900857324-6,Lácteos Vallenatos SAS,Dionisia Oñate,Valledupar,si,30 dias,Ventana de recibo de 8 a 11 am
